Month,"HRC 
(FOB, $/t)","Iron Ore 
(CFR, $/t)","HCC 
(Aus FOB, $/t)",Domestic Scrap (DDP Jiangsu incl. VAT $/t),"RM Cost 
($/t)","HRC - RM 
Spread ($/t)",CS Production (Mnt),"Exports 
(Mnt)","Imports 
(Mnt)",Net Exports (Mnt),Export as % of Production,Cummulative FAI growth (%),Domestic Scrap (DDP Jiangsu incl. VAT $/t),"ACSU 
(Mnt)",Monthly Imports of semis & finished steel (Mt.),Monthly Export of semis & finished steel (Mt.),Monthly Iron ore Imports (Mt.),YTD Iron ore Imports (Mt.),YTD Iron ore Production (Mt.),Monthly Iron ore Production (Mt.),Stocks of iron ore at China's seaport (Mt.),YTD Growth rate of  Investment  (Fixed asset investment),Fixed asset investment in real estate development in urban areas (y-o-y )Growth,Floor space under construction (y-o-y),Automobile Production (y-o-y),Civil Metal-Vessels/Steel Ships (y-o-y),Household Fridges (y-o-y),Air Conditioner (y-o-y),Manufacturing PMI for steel
Jan-06,388,47,125,248,200,187,30,2,2,0,7%,26.6%,248,30,,,,,,,,,,,,,,,
Feb-06,388,48,125,248,202,185,30,2,1,1,7%,26.6%,248,29,,,,,,,,,,,,,,,
Mar-06,449,50,125,251,205,244,33,3,2,1,9%,29.8%,251,32,,,,,,,,,,,,,,,
Apr-06,478,57,116,257,207,271,35,3,2,1,9%,29.6%,257,33,,,,,,,,,,,,,,,
May-06,505,56,116,263,205,300,36,4,2,3,12%,30.3%,263,33,,,,,,,,,,,,,,,
Jun-06,559,55,116,266,205,354,37,5,2,4,15%,31.3%,266,33,,,,,,,,,,,,,,,
Jul-06,540,57,116,244,208,332,36,4,2,3,12%,30.5%,244,33,,,,,,,,,,,,,,,
Aug-06,495,60,116,253,212,283,37,5,2,3,14%,29.1%,253,33,,,,,,,,,,,,,,,
Sep-06,472,59,116,252,211,261,36,5,2,3,14%,28.2%,252,33,1.61,5.14,28.14,247.2,405.8,,41,27.30%,24.30%,18.50%,24.00%,6.00%,34.20%,3.90%,51.70%
Oct-06,477,62,85,260,185,292,38,5,1,4,14%,26.8%,260,34,1.42,5.19,21.97,,462.3,56.5,40.77,26.80%,24.10%,18.80%,25.10%,11.40%,31.80%,6.70%,55.90%
Nov-06,470,62,84,262,182,288,38,6,2,5,16%,26.6%,262,31,1.45,6.11,28.56,297.69,521.5,59.2,37.48,26.60%,24.00%,18.40%,26.10%,8.30%,28.90%,7.20%,54.90%
Dec-06,470,61,90,270,188,282,39,6,2,4,15%,24.5%,270,32,1.53,6.05,,326.3,588.2,66.7,38.2,24.00%,21.80%,,27.00%,13.10%,,,50.10%
Jan-07,470,62,98,273,197,273,38,5,2,3,13%,23.4%,273,35,1.53,4.95,35.85,,,,39.8,,,,45.00%,,,,55.40%
Feb-07,481,62,100,288,199,282,36,5,1,4,13%,23.4%,288,32,1.28,4.92,28.75,,,,44.6,23.40%,24.30%,17.20%,21.50%,,,,60.30%
Mar-07,560,63,103,295,203,357,40,6,2,4,15%,25.3%,295,36,1.61,6.04,35.62,,,,44.5,23.70%,26.90%,19.30%,22.30%,8.60%,,16.10%,54.20%
Apr-07,562,70,107,303,219,342,41,8,2,6,20%,25.5%,303,34,1.66,8.03,33.37,133.55,,,43.07,25.50%,27.40%,21.30%,21.40%,23.00%,,17.90%,55.80%
May-07,591,73,109,306,226,365,42,7,1,6,17%,25.9%,306,35,1.41,7.14,27.62,161.17,252.28,,45.06,25.90%,27.50%,20.60%,22.00%,24.00%,,19.70%,60.10%
Jun-07,572,68,120,314,228,344,43,7,1,6,17%,26.7%,314,36,1.44,7.1,26.9,187.92,321.29,69.01,44.29,25.90%,28.50%,20.60%,22.90%,20.80%,,23.30%,54.40%
Jul-07,526,71,129,340,242,284,42,7,1,5,16%,26.6%,340,36,1.42,6.81,33.61,221.52,380.42,59.13,44.43,26.60%,28.90%,21.50%,24.30%,21.70%,,25.70%,54.70%
Aug-07,536,75,140,349,260,275,42,6,1,4,14%,26.7%,349,37,1.49,5.72,29.29,250.81,442.17,61.75,39.91,26.70%,29.00%,21.60%,24.00%,27.80%,,24.40%,55.90%
Sep-07,556,80,150,363,278,278,44,5,1,3,11%,26.4%,363,39,1.47,4.8,33.24,284.05,505.47,63.3,41.24,25.70%,30.30%,20.80%,23.60%,28.60%,,26.40%,52.40%
Oct-07,565,91,165,400,311,254,43,4,1,3,10%,26.9%,400,40,1.24,4.42,29.77,313.75,566.83,61.36,40.84,26.90%,31.40%,22.80%,23.70%,29.10%,,26.30%,52.70%
