Month,"HRC 
(FOB, $/t)",Domestic Scrap (DDP Jiangsu incl. VAT $/t),"HRC - RM 
Spread ($/t)",CS Production (Mnt),"Exports 
(Mnt)","Imports 
(Mnt)",Export as % of Production,Cummulative FAI growth (%),Domestic Scrap (DDP Jiangsu incl. VAT $/t).1,Monthly Imports of semis & finished steel (Mt.),Monthly Export of semis & finished steel (Mt.),YTD Iron ore Imports (Mt.),YTD Iron ore Production (Mt.),Monthly Iron ore Production (Mt.),Fixed asset investment in real estate development in urban areas (y-o-y )Growth,Automobile Production (y-o-y),Civil Metal-Vessels/Steel Ships (y-o-y),Household Fridges (y-o-y),Air Conditioner (y-o-y),Manufacturing PMI for steel
Jan-06,388,248,187,30.0,2.0,2.0,7.0,26.6,248,,,,,,,,,,,
Feb-06,388,248,185,30.0,2.0,1.0,7.0,26.6,248,,,,,,,,,,,
Mar-06,449,251,244,33.0,3.0,2.0,9.0,29.8,251,,,,,,,,,,,
Apr-06,478,257,271,35.0,3.0,2.0,9.0,29.6,257,,,,,,,,,,,
May-06,505,263,300,36.0,4.0,2.0,12.0,30.3,263,,,,,,,,,,,
Jun-06,559,266,354,37.0,5.0,2.0,15.0,31.3,266,,,,,,,,,,,
Jul-06,540,244,332,36.0,4.0,2.0,12.0,30.5,244,,,,,,,,,,,
Aug-06,495,253,283,37.0,5.0,2.0,14.0,29.1,253,,,,,,,,,,,
Sep-06,472,252,261,36.0,5.0,2.0,14.0,28.2,252,1.61,5.14,247.2,405.8,,24.3,24.0,6.0,34.2,3.9,51.7
Oct-06,477,260,292,38.0,5.0,1.0,14.0,26.8,260,1.42,5.19,,462.3,56.5,24.1,25.1,11.4,31.8,6.7,55.9
Nov-06,470,262,288,38.0,6.0,2.0,16.0,26.6,262,1.45,6.11,297.69,521.5,59.2,24.0,26.1,8.3,28.9,7.2,54.9
Dec-06,470,270,282,39.0,6.0,2.0,15.0,24.5,270,1.53,6.05,326.3,588.2,66.7,21.8,27.0,13.1,,,50.1
Jan-07,470,273,273,38.0,5.0,2.0,13.0,23.4,273,1.53,4.95,,,,,45.0,,,,55.4
Feb-07,481,288,282,36.0,5.0,1.0,13.0,23.4,288,1.28,4.92,,,,24.3,21.5,,,,60.3
Mar-07,560,295,357,40.0,6.0,2.0,15.0,25.3,295,1.61,6.04,,,,26.9,22.3,8.6,,16.1,54.2
Apr-07,562,303,342,41.0,8.0,2.0,20.0,25.5,303,1.66,8.03,133.55,,,27.4,21.4,23.0,,17.9,55.8
May-07,591,306,365,42.0,7.0,1.0,17.0,25.9,306,1.41,7.14,161.17,252.28,,27.5,22.0,24.0,,19.7,60.1
Jun-07,572,314,344,43.0,7.0,1.0,17.0,26.7,314,1.44,7.1,187.92,321.29,69.01,28.5,22.9,20.8,,23.3,54.4
Jul-07,526,340,284,42.0,7.0,1.0,16.0,26.6,340,1.42,6.81,221.52,380.42,59.13,28.9,24.3,21.7,,25.7,54.7
Aug-07,536,349,275,42.0,6.0,1.0,14.0,26.7,349,1.49,5.72,250.81,442.17,61.75,29.0,24.0,27.8,,24.4,55.9
Sep-07,556,363,278,44.0,5.0,1.0,11.0,26.4,363,1.47,4.8,284.05,505.47,63.3,30.3,23.6,28.6,,26.4,52.4
Oct-07,565,400,254,43.0,4.0,1.0,10.0,26.9,400,1.24,4.42,313.75,566.83,61.36,31.4,23.7,29.1,,26.3,52.7
Nov-07,583,431,266,40.0,4.0,1.0,10.0,26.8,431,1.36,4.27,349.03,633.45,66.62,31.8,23.5,34.1,,24.9,55.8
Dec-07,635,445,313,42.0,5.0,1.0,11.0,25.6,445,1.36,4.91,383.09,707.07,73.62,30.2,22.0,29.4,,,53.5
Jan-08,677,460,357,41.0,4.0,1.0,10.0,24.3,460,1.45,4.22,,,,,8.5,,,17.0,51.5
Feb-08,721,513,262,39.0,3.0,1.0,8.0,24.3,513,1.27,3.11,75.0,101.22,101.22,32.9,12.5,113.9,15.8,18.4,58.6
Mar-08,838,511,360,45.0,4.0,2.0,9.0,25.9,511,1.53,4.17,110.66,167.69,66.47,32.3,15.8,69.5,16.4,15.8,56.6
Apr-08,892,578,317,45.0,5.0,2.0,10.0,25.7,578,1.52,4.79,153.49,235.4,67.71,32.1,17.4,63.5,18.3,13.4,59.9
May-08,979,602,384,46.0,6.0,1.0,12.0,25.6,602,1.36,5.58,192.36,463.18,227.78,31.9,18.1,47.6,17.5,14.1,56.0
Jun-08,1003,612,419,47.0,5.0,1.0,11.0,26.8,612,1.27,5.24,230.04,391.38,-71.8,33.5,17.6,42.5,10.5,6.7,55.8
Jul-08,1029,548,434,45.0,7.0,1.0,16.0,27.3,548,1.45,7.44,269.61,455.93,64.55,30.9,17.2,38.3,6.0,4.9,51.8
Aug-08,971,476,390,43.0,8.0,1.0,19.0,27.4,476,1.34,8.24,307.01,519.32,63.39,29.1,14.9,40.0,4.6,3.1,43.6
Sep-08,838,300,279,39.0,7.0,1.0,17.0,27.6,300,1.29,6.88,346.1,585.6,66.28,26.5,13.6,38.0,3.5,1.1,39.8
Oct-08,671,337,190,36.0,5.0,1.0,13.0,27.2,337,1.17,4.73,376.67,654.2,68.6,24.6,12.4,35.9,3.5,-0.5,30.6
Nov-08,520,350,182,34.0,3.0,1.0,8.0,26.8,350,1.04,2.98,409.1,741.6,87.4,22.7,9.7,40.0,3.0,-2.8,32.0
Dec-08,508,395,259,38.0,3.0,1.0,8.0,26.2,395,1.04,3.19,443.56,824.0,82.4,20.9,6.5,44.2,8.0,-4.9,49.9
Jan-09,569,403,315,41.0,2.0,1.0,5.0,26.5,403,1.02,1.91,,58.19,,,-21.6,,,,58.4
Feb-09,543,344,273,41.0,2.0,1.0,4.0,26.5,344,1.43,1.57,,105.4,47.21,1.0,-1.7,13.9,6.8,-26.9,51.0
Mar-09,499,339,281,45.0,2.0,2.0,4.0,28.6,339,1.74,1.67,,166.72,61.32,4.1,3.7,30.1,7.9,-28.0,45.8
Apr-09,460,354,246,44.0,1.0,2.0,3.0,30.5,354,2.29,1.41,,228.42,61.7,4.9,7.6,18.4,7.0,-20.5,50.3
May-09,483,381,270,47.0,1.0,2.0,3.0,32.9,381,2.35,1.35,,295.64,67.22,6.8,12.0,37.6,5.5,-22.7,56.5
Jun-09,490,410,261,49.0,1.0,2.0,3.0,33.6,410,2.01,1.44,,377.92,82.28,9.9,16.4,36.0,9.2,-20.0,60.3
Jul-09,535,421,270,51.0,2.0,2.0,3.0,32.9,421,2.32,1.81,404.9,455.78,77.86,11.6,20.7,35.4,12.6,-16.7,64.8
Aug-09,575,403,244,52.0,2.0,2.0,4.0,33.0,403,1.95,2.08,,533.11,77.33,14.7,27.1,31.8,15.0,-12.1,58.9
Sep-09,524,359,234,51.0,2.0,2.0,5.0,33.3,359,2.19,2.47,469.44,618.6,85.49,17.7,31.7,34.1,16.2,-10.3,46.1
Oct-09,474,374,171,52.0,3.0,2.0,5.0,33.1,374,1.81,2.71,514.81,702.66,84.06,18.9,37.5,38.2,16.7,-10.1,50.8
Nov-09,496,392,178,48.0,3.0,2.0,6.0,32.1,392,1.6,2.87,565.86,790.54,87.88,17.8,43.2,38.8,17.6,-6.4,52.5
Dec-09,518,410,189,48.0,3.0,2.0,7.0,31.0,410,1.58,3.35,627.78,880.17,89.63,16.1,47.8,40.1,24.7,-1.9,54.6
Jan-10,550,421,145,52.0,3.0,1.0,5.0,26.6,421,1.39,2.9,,,,,143.0,,,,54.4
Feb-10,545,425,131,50.0,2.0,1.0,5.0,26.6,425,1.19,2.49,96.07,124.34,124.34,31.1,89.7,95.4,45.8,27.7,58.7
Mar-10,617,484,182,55.0,3.0,2.0,6.0,26.4,484,1.71,3.33,155.03,204.13,79.79,35.1,73.2,92.4,27.4,30.0,53.2
Apr-10,697,454,165,55.0,4.0,2.0,8.0,26.1,454,1.57,4.31,210.32,292.26,88.13,36.2,61.9,69.8,28.5,30.0,57.3
May-10,669,444,169,56.0,5.0,1.0,9.0,25.9,444,1.38,4.98,262.17,383.36,91.1,38.2,53.6,56.9,29.3,38.6,50.0
Jun-10,611,432,158,54.0,6.0,2.0,10.0,25.5,432,1.5,5.68,309.28,485.03,101.67,38.1,46.6,63.4,28.2,39.5,44.3
Jul-10,608,431,214,51.0,4.0,1.0,9.0,24.9,431,1.46,4.55,360.41,583.44,98.41,37.2,42.3,53.4,26.8,38.4,45.4
Aug-10,633,445,214,52.0,3.0,1.0,5.0,24.8,445,1.44,2.82,405.04,685.69,102.25,36.7,38.4,48.9,26.3,37.2,53.4
Sep-10,625,444,196,49.0,3.0,1.0,6.0,24.5,444,1.35,3.01,469.13,780.24,94.55,36.4,35.3,48.5,27.0,41.2,50.8
Oct-10,596,470,137,50.0,3.0,1.0,6.0,24.4,470,1.2,2.87,503.3,875.86,95.62,36.5,33.8,47.5,28.4,40.5,51.8
Nov-10,616,474,149,50.0,3.0,1.0,6.0,24.9,474,1.46,2.91,560.6,972.48,96.62,36.5,33.1,46.1,28.4,40.3,50.2
Dec-10,623,508,140,52.0,3.0,1.0,5.0,24.4,508,1.48,2.85,618.63,1071.56,99.08,33.2,31.9,54.6,23.1,34.9,55.4
Jan-11,685,577,68,56.0,3.0,2.0,5.0,34.0,577,1.72,3.12,,,,,11.3,,,,53.0
Feb-11,767,571,146,54.0,2.0,1.0,4.0,34.0,571,1.06,2.48,117.57,146.24,146.24,35.2,10.3,8.7,15.0,54.9,60.0
Mar-11,713,575,114,59.0,5.0,2.0,8.0,32.5,575,1.6,4.91,177.17,249.2,102.96,34.1,10.3,13.6,20.9,48.4,46.2
Apr-11,713,578,100,59.0,5.0,1.0,8.0,34.2,578,1.4,4.77,230.02,347.05,97.85,34.3,6.9,18.9,17.6,42.7,52.9
May-11,703,583,109,60.0,5.0,1.0,8.0,34.0,583,1.31,4.76,283.25,450.22,103.17,34.6,5.2,22.5,17.6,39.4,53.9
Jun-11,693,589,119,60.0,4.0,1.0,7.0,27.0,589,1.23,4.29,334.25,575.04,124.82,32.9,5.0,16.5,18.7,41.8,50.4
Jul-11,689,586,107,59.0,4.0,1.0,7.0,27.2,586,1.29,4.44,388.63,691.92,116.88,33.6,4.0,23.2,19.1,41.6,54.4
Aug-11,704,600,128,60.0,4.0,1.0,7.0,28.1,600,1.44,4.19,447.57,818.93,127.01,33.2,4.7,23.4,18.3,40.7,50.0
Sep-11,704,604,138,58.0,4.0,1.0,7.0,28.0,604,1.36,4.21,508.07,946.23,127.3,32.0,4.5,24.6,17.0,32.2,49.6
Oct-11,651,535,143,56.0,4.0,1.0,7.0,28.7,535,1.26,3.82,557.93,1078.48,132.25,31.1,4.2,22.8,18.8,28.9,44.8
Nov-11,606,552,153,51.0,4.0,1.0,8.0,27.9,552,1.35,4.2,622.01,1205.51,127.03,29.9,3.9,19.8,19.2,26.6,42.6
Dec-11,610,543,174,54.0,4.0,1.0,7.0,25.1,543,1.24,3.72,686.06,1326.94,121.43,27.9,3.0,16.9,19.2,27.8,50.2
Jan-12,615,518,178,57.0,4.0,1.0,6.0,21.5,518,0.95,3.73,,,,,-27.5,,,,47.9
Feb-12,636,527,197,56.0,3.0,1.0,6.0,21.5,527,1.23,3.39,117.61,153.08,153.08,27.8,-1.8,5.3,9.8,-4.8,42.8
Mar-12,648,532,218,62.0,5.0,1.0,8.0,21.3,532,1.32,5.03,187.62,259.6,106.52,23.5,10.3,-8.1,6.9,-1.2,49.3
Apr-12,646,515,196,61.0,5.0,1.0,7.0,20.5,515,1.16,4.67,244.74,363.25,103.65,18.7,3.1,-5.9,4.0,1.3,55.7
May-12,628,479,177,62.0,5.0,1.0,8.0,20.7,479,1.35,5.23,308.22,475.5,112.25,18.5,6.2,-2.9,-6.5,2.4,48.8
Jun-12,604,444,169,62.0,5.0,1.0,8.0,21.0,444,1.14,5.22,366.2,599.8,124.3,16.6,6.7,2.5,-7.4,1.5,49.2
