Month_Dt,Month,Year,"HRC 
(FOB, $/t)",Domestic Scrap (DDP Jiangsu incl. VAT $/t),"HRC - RM 
Spread ($/t)",CS Production (Mnt),"Exports 
(Mnt)","Imports 
(Mnt)",Export as % of Production,Cummulative FAI growth (%),Domestic Scrap (DDP Jiangsu incl. VAT $/t).1,Monthly Imports of semis & finished steel (Mt.),Monthly Export of semis & finished steel (Mt.),YTD Iron ore Imports (Mt.),YTD Iron ore Production (Mt.),Monthly Iron ore Production (Mt.),Fixed asset investment in real estate development in urban areas (y-o-y )Growth,Automobile Production (y-o-y),Civil Metal-Vessels/Steel Ships (y-o-y),Household Fridges (y-o-y),Air Conditioner (y-o-y),Manufacturing PMI for steel
01/01/2006,1,2006,388,248,187,30,2,2,7,26.6,248,,,26.58,,,,,,,,
01/02/2006,2,2006,388,248,185,30,2,1,7,26.6,248,,,51.41,,,,,,,,
01/03/2006,3,2006,449,251,244,33,3,2,9,29.8,251,,,80.92,,,,,,,,
01/04/2006,4,2006,478,257,271,35,3,2,9,29.6,257,,,108.18,,,,,,,,
01/05/2006,5,2006,505,263,300,36,4,2,12,30.3,263,,,132.75,,,,,,,,
01/06/2006,6,2006,559,266,354,37,5,2,15,31.3,266,,,161.48,,,,,,,,
01/07/2006,7,2006,540,244,332,36,4,2,12,30.5,244,,,186.21,,,,,,,,
01/08/2006,8,2006,495,253,283,37,5,2,14,29.1,253,,,219.02,,,,,,,,
01/09/2006,9,2006,472,252,261,36,5,2,14,28.2,252,1.61,5.14,247.2,405.8,56.5,24.3,24,6,34.2,3.9,51.7
01/10/2006,10,2006,477,260,292,38,5,1,14,26.8,260,1.42,5.19,269.13,462.3,56.5,24.1,25.1,11.4,31.8,6.7,55.9
01/11/2006,11,2006,470,262,288,38,6,2,16,26.6,262,1.45,6.11,297.69,521.5,59.2,24,26.1,8.3,28.9,7.2,54.9
01/12/2006,12,2006,470,270,282,39,6,2,15,24.5,270,1.53,6.05,326.3,588.2,66.7,21.8,27,13.1,15.8,16.1,50.1
01/01/2007,1,2007,470,273,273,38,5,2,13,23.4,273,1.53,4.95,35.85,252.28,69.01,24.3,45,8.6,15.8,16.1,55.4
01/02/2007,2,2007,481,288,282,36,5,1,13,23.4,288,1.28,4.92,64.59,252.28,69.01,24.3,21.5,8.6,15.8,16.1,60.3
01/03/2007,3,2007,560,295,357,40,6,2,15,25.3,295,1.61,6.04,100.21,252.28,69.01,26.9,22.3,8.6,15.8,16.1,54.2
01/04/2007,4,2007,562,303,342,41,8,2,20,25.5,303,1.66,8.03,133.55,252.28,69.01,27.4,21.4,23,15.8,17.9,55.8
01/05/2007,5,2007,591,306,365,42,7,1,17,25.9,306,1.41,7.14,161.17,252.28,69.01,27.5,22,24,15.8,19.7,60.1
01/06/2007,6,2007,572,314,344,43,7,1,17,26.7,314,1.44,7.1,187.92,321.29,69.01,28.5,22.9,20.8,15.8,23.3,54.4
01/07/2007,7,2007,526,340,284,42,7,1,16,26.6,340,1.42,6.81,221.52,380.42,59.13,28.9,24.3,21.7,15.8,25.7,54.7
01/08/2007,8,2007,536,349,275,42,6,1,14,26.7,349,1.49,5.72,250.81,442.17,61.75,29,24,27.8,15.8,24.4,55.9
01/09/2007,9,2007,556,363,278,44,5,1,11,26.4,363,1.47,4.8,284.05,505.47,63.3,30.3,23.6,28.6,15.8,26.4,52.4
01/10/2007,10,2007,565,400,254,43,4,1,10,26.9,400,1.24,4.42,313.75,566.83,61.36,31.4,23.7,29.1,15.8,26.3,52.7
01/11/2007,11,2007,583,431,266,40,4,1,10,26.8,431,1.36,4.27,349.03,633.45,66.62,31.8,23.5,34.1,15.8,24.9,55.8
01/12/2007,12,2007,635,445,313,42,5,1,11,25.6,445,1.36,4.91,383.09,707.07,73.62,30.2,22,29.4,15.8,17,53.5
01/01/2008,1,2008,677,460,357,41,4,1,10,24.3,460,1.45,4.22,36.81,101.22,101.22,32.9,8.5,113.9,15.8,17,51.5
01/02/2008,2,2008,721,513,262,39,3,1,8,24.3,513,1.27,3.11,75,101.22,101.22,32.9,12.5,113.9,15.8,18.4,58.6
01/03/2008,3,2008,838,511,360,45,4,2,9,25.9,511,1.53,4.17,110.66,167.69,66.47,32.3,15.8,69.5,16.4,15.8,56.6
