Date,"China HRC (FOB, $/t)","Japan HRC (FOB, $/t)"
2006-01-01,388.0,480.0
2006-03-01,449.0,490.0
2006-04-01,478.0,460.0
2006-05-01,505.0,490.0
2006-06-01,559.0,510.0
2006-07-01,540.0,540.0
2006-08-01,495.0,540.0
2006-09-01,472.0,540.0
2006-10-01,477.0,520.0
2006-11-01,470.0,520.0
2007-01-01,470.0,500.0
2007-02-01,481.0,510.0
2007-03-01,560.0,530.0
2007-04-01,562.0,530.0
2007-05-01,591.0,540.0
2007-06-01,572.0,540.0
2007-07-01,526.0,550.0
2007-08-01,536.0,550.0
2007-09-01,556.0,550.0
2007-10-01,565.0,550.0
2007-11-01,583.0,560.0
2007-12-01,635.0,570.0
2008-01-01,677.0,600.0
2008-02-01,721.0,700.0
2008-03-01,838.0,750.0
2008-04-01,892.0,830.0
2008-05-01,979.0,850.0
2008-06-01,1003.0,930.0
2008-07-01,1029.0,980.0
2008-08-01,971.0,1050.0
2008-09-01,838.0,1050.0
2008-10-01,671.0,1030.0
2008-11-01,520.0,1030.0
2008-12-01,508.0,900.0
2009-01-01,569.0,800.0
2009-02-01,543.0,700.0
2009-03-01,499.0,580.0
2009-04-01,460.0,530.0
2009-05-01,483.0,450.0
2009-06-01,490.0,460.0
2009-07-01,535.0,480.0
2009-08-01,575.0,500.0
2009-09-01,524.0,560.0
2009-10-01,474.0,560.0
2009-11-01,496.0,550.0
2009-12-01,518.0,560.0
2010-01-01,550.0,580.0
2010-02-01,545.0,580.0
2010-03-01,617.0,650.0
2010-04-01,697.0,680.0
2010-05-01,669.0,760.0
2010-06-01,611.0,760.0
2010-07-01,608.0,720.0
2010-08-01,633.0,700.0
2010-09-01,625.0,675.0
2010-10-01,596.0,680.0
2010-11-01,616.0,670.0
2010-12-01,623.0,640.0
2011-01-01,685.0,650.0
2011-02-01,767.0,770.0
2011-03-01,713.0,790.0
2011-05-01,703.0,840.0
2011-06-01,693.0,800.0
2011-07-01,689.0,750.0
2011-08-01,704.0,770.0
2011-10-01,651.0,760.0
2011-11-01,606.0,690.0
2011-12-01,610.0,620.0
2012-01-01,615.0,625.0
2012-02-01,636.0,650.0
2012-03-01,648.0,660.0
2012-04-01,646.0,685.0
2012-05-01,628.0,680.0
2012-06-01,604.0,620.0
2012-07-01,573.0,605.0
2012-08-01,534.0,580.0
2012-09-01,511.0,570.0
2012-10-01,533.0,590.0
2012-11-01,540.0,590.0
2012-12-01,547.0,545.0
2013-01-01,587.0,575.0
2013-02-01,610.0,635.0
2013-03-01,594.0,640.0
2013-04-01,552.0,610.0
2013-05-01,523.0,560.0
2013-06-01,502.0,540.0
2013-07-01,513.0,530.0
2013-08-01,531.0,550.0
2013-09-01,541.0,565.0
2013-10-01,521.0,560.0
2013-11-01,521.0,570.0
2013-12-01,524.0,580.0
2014-01-01,529.0,585.0
2014-02-01,528.0,600.0
2014-03-01,519.0,580.0
2014-04-01,520.0,580.0
2014-05-01,512.0,580.0
2014-06-01,505.0,570.0
2014-07-01,506.0,565.0
2014-08-01,506.0,555.0
2014-09-01,493.0,555.0
2014-10-01,480.0,520.0
2014-11-01,468.0,500.0
2014-12-01,458.0,495.0
2015-01-01,429.0,480.0
2015-02-01,377.0,445.0
2015-03-01,373.0,425.0
2015-04-01,367.0,415.0
2015-05-01,361.0,385.0
2015-06-01,346.0,380.0
2015-07-01,316.0,370.0
2015-08-01,305.0,340.0
2015-09-01,285.0,325.0
2015-10-01,270.0,307.0
2015-11-01,261.0,302.0
2015-12-01,260.0,296.0
2016-01-01,272.0,305.0
2016-02-01,280.0,312.0
2016-03-01,346.0,328.0
2016-04-01,422.0,386.0
2016-05-01,379.0,410.0
2016-06-01,333.0,435.0
2016-07-01,361.0,450.0
2016-08-01,381.0,425.0
2016-09-01,377.0,432.0
2016-10-01,394.0,430.0
2016-11-01,450.0,487.0
2016-12-01,501.0,530.0
2017-01-01,497.0,535.0
2017-02-01,501.0,545.0
2017-03-01,494.0,545.0
2017-04-01,428.0,535.0
2017-05-01,426.0,510.0
2017-06-01,444.0,510.0
2017-07-01,493.0,530.0
2017-08-01,543.0,550.0
2017-09-01,575.0,610.0
2017-10-01,551.0,615.0
2017-11-01,545.0,595.0
2017-12-01,564.0,605.0
2018-01-01,572.0,610.0
2018-02-01,585.0,610.0
2018-03-01,592.0,650.0
2018-04-01,579.0,645.0
2018-05-01,588.0,642.0
2018-06-01,593.0,640.0
2018-07-01,579.0,635.0
2018-08-01,574.0,635.0
2018-09-01,571.0,630.0
2018-10-01,550.0,615.0
2018-11-01,507.0,605.0
2018-12-01,480.0,585.0
2019-01-01,485.0,570.0
2019-02-01,508.0,570.0
2019-03-01,531.0,545.0
2019-04-01,529.0,560.0
2019-06-01,494.0,565.0
2019-07-01,507.0,530.0
2019-08-01,482.0,520.0
2019-09-01,459.0,490.0
2019-10-01,439.0,460.0
2019-11-01,444.0,450.0
2019-12-01,470.0,480.0
2020-01-01,495.0,495.0
2020-02-01,462.0,510.0
2020-03-01,440.0,465.0
2020-04-01,401.0,420.0
2020-05-01,413.0,400.0
2020-06-01,438.0,430.0
2020-07-01,457.0,435.0
2020-08-01,501.0,485.0
2020-09-01,511.0,520.0
2020-10-01,511.0,510.0
2020-11-01,551.0,540.0
2020-12-01,643.0,630.0
2021-01-01,661.0,790.0
2021-02-01,663.0,790.0
2021-03-01,733.0,790.0
2021-04-01,874.0,970.0
2021-05-01,970.0,1050.0
2021-06-01,909.0,1060.0
2021-07-01,905.0,1100.0
2021-08-01,920.0,1000.0
2021-09-01,909.0,1010.0
2021-10-01,905.0,980.0
2021-11-01,786.0,905.0
2021-12-01,764.0,810.0
2022-01-01,749.0,755.0
2022-02-01,798.0,890.0
2022-03-01,855.0,905.0
2022-04-01,853.0,1070.0
2022-05-01,763.0,880.0
2022-06-01,714.0,830.0
2022-07-01,623.0,700.0
2022-08-01,597.0,630.0
2022-09-01,576.0,560.0
2022-10-01,550.0,590.0
2022-11-01,525.0,580.0
2022-12-01,574.0,615.0
2023-01-01,622.0,655.0
2023-02-01,647.0,675.0
2023-03-01,666.0,710.0
2023-04-01,623.0,720.0
2023-05-01,561.0,620.0
2023-06-01,542.0,565.0
2023-07-01,550.0,585.0
2023-08-01,553.0,605.0
2023-09-01,537.0,570.0
2023-10-01,526.0,555.0
2023-11-01,542.0,560.0
2023-12-01,560.0,595.0
2024-01-01,560.0,615.0
2024-02-01,550.0,620.0
2024-03-01,527.0,570.0
2024-04-01,519.0,550.0
2024-05-01,531.0,560.0
2024-07-01,498.0,550.0
2024-08-01,464.0,530.0
2024-09-01,453.0,500.0
2024-10-01,497.0,540.0
2024-11-01,485.0,550.0
2024-12-01,473.0,520.0
2025-01-01,461.0,520.0
2025-02-01,488.6416760678224,535.0
2025-03-01,456.7128811480171,
2025-04-01,470.805399397218,
2025-05-01,470.2744943039112,
2025-06-01,461.62970548162434,
2025-07-01,454.6565056725773,
2025-08-01,437.1364135301726,
2025-09-01,431.1836025643048,
2025-10-01,424.6022999109754,
2025-11-01,399.4934318411295,
2025-12-01,400.05212606966825,
2026-01-01,411.5418460863481,
2026-02-01,404.6512487434635,
2026-03-01,387.0243344186238,
