Date,Month,"HRC (FOB, $/t)","Iron Ore (CFR, $/t)","HCC (Aus FOB, $/t)",Domestic Scrap (DDP Jiangsu incl. VAT $/t),RM Cost ($/t),HRC - RM Spread ($/t),CS Production (Mnt),Exports (Mnt),Imports (Mnt),Net Exports (Mnt),Export as % of Production,Cummulative FAI growth (%),ACSU (Mnt),Monthly Imports of semis & finished steel (Mt.),Monthly Export of semis & finished steel (Mt.),Monthly Iron ore Imports (Mt.),YTD Iron ore Imports (Mt.),YTD Iron ore Production (Mt.),Monthly Iron ore Production (Mt.),Stocks of iron ore at China's seaport (Mt.),YTD Growth rate of Investment (FAI),FAI in urban real estate development (y-o-y) Growth,Floor space under construction (y-o-y),Automobile Production (y-o-y),Civil Metal-Vessels/Steel Ships (y-o-y),Household Fridges (y-o-y),Air Conditioner (y-o-y),Manufacturing PMI for steel
2006-09-01,Sep-06,472,59,116,252,211,261,36.0,5.0,2.0,3.0,14.0,28.2,33.0,1.61,5.14,28.14,247.2,405.8,56.5,41.0,27.3,24.3,18.5,24.0,6.0,34.2,3.9,51.7
2006-10-01,Oct-06,477,62,85,260,185,292,38.0,5.0,1.0,4.0,14.0,26.8,34.0,1.42,5.19,21.97,297.69,462.3,56.5,40.77,26.8,24.1,18.8,25.1,11.4,31.8,6.7,55.9
2006-11-01,Nov-06,470,62,84,262,182,288,38.0,6.0,2.0,5.0,16.0,26.6,31.0,1.45,6.11,28.56,297.69,521.5,59.2,37.48,26.6,24.0,18.4,26.1,8.3,28.9,7.2,54.9
2006-12-01,Dec-06,470,61,90,270,188,282,39.0,6.0,2.0,4.0,15.0,24.5,32.0,1.53,6.05,35.85,326.3,588.2,66.7,38.2,24.0,21.8,17.2,27.0,13.1,15.8,16.1,50.1
2007-01-01,Jan-07,470,62,98,273,197,273,38.0,5.0,2.0,3.0,13.0,23.4,35.0,1.53,4.95,35.85,133.55,252.28,69.01,39.8,23.4,24.3,17.2,45.0,8.6,15.8,16.1,55.4
2007-02-01,Feb-07,481,62,100,288,199,282,36.0,5.0,1.0,4.0,13.0,23.4,32.0,1.28,4.92,28.75,133.55,252.28,69.01,44.6,23.4,24.3,17.2,21.5,8.6,15.8,16.1,60.3
2007-03-01,Mar-07,560,63,103,295,203,357,40.0,6.0,2.0,4.0,15.0,25.3,36.0,1.61,6.04,35.62,133.55,252.28,69.01,44.5,23.7,26.9,19.3,22.3,8.6,15.8,16.1,54.2
2007-04-01,Apr-07,562,70,107,303,219,342,41.0,8.0,2.0,6.0,20.0,25.5,34.0,1.66,8.03,33.37,133.55,252.28,69.01,43.07,25.5,27.4,21.3,21.4,23.0,15.8,17.9,55.8
2007-05-01,May-07,591,73,109,306,226,365,42.0,7.0,1.0,6.0,17.0,25.9,35.0,1.41,7.14,27.62,161.17,252.28,69.01,45.06,25.9,27.5,20.6,22.0,24.0,15.8,19.7,60.1
2007-06-01,Jun-07,572,68,120,314,228,344,43.0,7.0,1.0,6.0,17.0,26.7,36.0,1.44,7.1,26.9,187.92,321.29,69.01,44.29,25.9,28.5,20.6,22.9,20.8,15.8,23.3,54.4
