Variable 1,Variable 2,Correlation,Missing Values (Var 1),Missing Values (Var 2)
"ACSU 
(Mnt)",CS Production (Mnt),0.9833305327463003,3,1
CS Production (Mnt),Stocks of iron ore at China's seaport (Mt.),0.8190310531184513,1,15
Cummulative FAI growth (%),YTD Growth rate of  Investment  (Fixed asset investment),0.8918278509472544,4,23
Domestic Scrap (DDP Jiangsu incl. VAT $/t),Domestic Scrap (DDP Jiangsu incl. VAT $/t).1,1.0,0,0
Domestic Scrap (DDP Jiangsu incl. VAT $/t),"Iron Ore 
(CFR, $/t)",0.8263066707885536,0,0
Domestic Scrap (DDP Jiangsu incl. VAT $/t),"RM Cost 
($/t)",0.8397002485708599,0,0
Domestic Scrap (DDP Jiangsu incl. VAT $/t).1,"Iron Ore 
(CFR, $/t)",0.8263066707885536,0,0
Domestic Scrap (DDP Jiangsu incl. VAT $/t).1,"RM Cost 
($/t)",0.8397002485708599,0,0
"Exports 
(Mnt)",Net Exports (Mnt),0.9773056826053136,1,1
Fixed asset investment in real estate development in urban areas (y-o-y )Growth,Floor space under construction (y-o-y),0.9024699237177491,22,79
"HCC 
(Aus FOB, $/t)","RM Cost 
($/t)",0.9123471103746196,0,0
Monthly Export of semis & finished steel (Mt.),Monthly Iron ore Imports (Mt.),0.8546743709144048,24,33
